scenario,controller,n_success,success_rate,collision_rate,failure_rate,collision_rate_per_km,failure_rate_per_km,distance_to_failure_m,completion_rate,distance_traveled_m,mean_speed_kph,mean_front_gap_m,min_front_gap_m,min_ttc_s,ttc_under_1s_rate,ttc_under_2s_rate,min_rss_margin_lon_m,rss_lon_violation_rate,success_mean_abs_lateral_error_m,success_max_abs_lateral_error_m,all_mean_abs_lateral_error_m,all_max_abs_lateral_error_m
C1 dry,Base MPC,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5968.3,41.94 +/- 11.53,29.48 +/- 8.94,2.58 +/- 0.34,1.51 +/- 0.42,0.25 +/- 0.47,7.97 +/- 1.16,n/a,0.00 +/- 0.00,0.0074 +/- 0.0041,0.0359 +/- 0.0216,0.0074 +/- 0.0041,0.0359 +/- 0.0216
C1 dry,VLM-MPC-Long,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,98.8%,5879.5,39.27 +/- 10.87,37.76 +/- 8.61,7.44 +/- 0.39,3.48 +/- 0.04,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0358 +/- 0.0246,0.1814 +/- 0.0900,0.0358 +/- 0.0246,0.1814 +/- 0.0900
C1 dry,RSS-MPC Fixed,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.1,40.02 +/- 10.33,29.38 +/- 8.26,2.89 +/- 0.08,2.72 +/- 0.21,0.00 +/- 0.00,0.00 +/- 0.00,1.92 +/- 0.07,0.00 +/- 0.00,0.0070 +/- 0.0040,0.0389 +/- 0.0210,0.0070 +/- 0.0040,0.0389 +/- 0.0210
C1 dry,VLM-RSS-MPC Defense,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.2,40.02 +/- 10.32,29.38 +/- 8.26,2.89 +/- 0.08,2.73 +/- 0.20,0.00 +/- 0.00,0.00 +/- 0.00,1.91 +/- 0.07,0.00 +/- 0.00,0.0070 +/- 0.0040,0.0382 +/- 0.0205,0.0070 +/- 0.0040,0.0382 +/- 0.0205
C1 dry,RSS-MPC GT,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,100.0%,5962.6,39.99 +/- 10.34,29.39 +/- 8.26,2.89 +/- 0.09,2.75 +/- 0.16,0.00 +/- 0.00,0.00 +/- 0.00,1.91 +/- 0.07,0.00 +/- 0.00,0.0071 +/- 0.0040,0.0392 +/- 0.0215,0.0071 +/- 0.0040,0.0392 +/- 0.0215
C2 wet,Base MPC,9/18,50.0%,0.0%,50.0%,0.000,1.501,484.1 +/- 8.6,100.0%,5996.2,30.93 +/- 1.16,24.71 +/- 4.08,2.51 +/- 0.05,0.96 +/- 0.89,2.71 +/- 2.74,9.19 +/- 1.25,n/a,0.00 +/- 0.00,0.0048 +/- 0.0038,0.0406 +/- 0.0305,0.0155 +/- 0.0126,0.0676 +/- 0.0452
C2 wet,VLM-MPC-Long,14/18,77.8%,0.0%,22.2%,0.000,0.700,441.5 +/- 8.5,96.7%,5714.1,34.01 +/- 9.02,36.92 +/- 8.69,7.97 +/- 0.41,4.18 +/- 0.25,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0344 +/- 0.0265,0.1838 +/- 0.1046,0.0375 +/- 0.0241,0.3032 +/- 0.2426
C2 wet,RSS-MPC Fixed,17/18,94.4%,0.0%,5.6%,0.000,0.168,450.4 +/- 0.0,100.0%,5944.0,39.29 +/- 10.48,30.65 +/- 8.62,2.66 +/- 0.05,2.73 +/- 0.18,0.00 +/- 0.00,0.00 +/- 0.00,1.80 +/- 0.06,0.00 +/- 0.00,0.0184 +/- 0.0163,0.1799 +/- 0.1885,0.0196 +/- 0.0166,0.2046 +/- 0.2094
C2 wet,VLM-RSS-MPC Defense,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.6%,5886.0,35.64 +/- 9.46,40.79 +/- 10.27,7.21 +/- 0.51,4.76 +/- 0.17,0.00 +/- 0.00,0.00 +/- 0.00,-1.28 +/- 1.69,0.74 +/- 0.65,0.0083 +/- 0.0071,0.0407 +/- 0.0298,0.0083 +/- 0.0071,0.0407 +/- 0.0298
C2 wet,RSS-MPC GT,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.5%,5879.1,35.67 +/- 9.51,41.05 +/- 10.33,7.46 +/- 0.27,4.77 +/- 0.16,0.00 +/- 0.00,0.00 +/- 0.00,-0.84 +/- 1.61,0.60 +/- 0.65,0.0083 +/- 0.0072,0.0433 +/- 0.0335,0.0083 +/- 0.0072,0.0433 +/- 0.0335
C3 snow,Base MPC,1/18,5.6%,0.0%,94.4%,0.000,2.847,322.2 +/- 146.8,100.0%,5972.1,55.27 +/- 0.00,63.94 +/- 0.00,0.03 +/- 0.00,0.37 +/- 0.56,5.53 +/- 2.76,11.84 +/- 5.02,n/a,0.00 +/- 0.00,0.0881 +/- 0.0000,0.3883 +/- 0.0000,0.0583 +/- 0.0313,0.6450 +/- 0.5321
C3 snow,VLM-MPC-Long,9/18,50.0%,0.0%,50.0%,0.000,2.089,301.2 +/- 74.4,72.7%,4307.3,28.87 +/- 1.87,30.82 +/- 2.04,7.21 +/- 0.29,14.19 +/- 13.51,0.00 +/- 0.00,0.00 +/- 0.00,n/a,0.00 +/- 0.00,0.0263 +/- 0.0217,0.1706 +/- 0.1136,0.0469 +/- 0.0266,0.7137 +/- 0.5687
C3 snow,RSS-MPC Fixed,9/18,50.0%,0.0%,50.0%,0.000,1.615,437.1 +/- 3.4,94.1%,5571.0,28.79 +/- 0.20,29.84 +/- 5.04,2.52 +/- 0.15,2.88 +/- 0.65,0.00 +/- 0.00,2.05 +/- 4.60,4.93 +/- 7.67,0.60 +/- 1.36,0.0054 +/- 0.0045,0.0385 +/- 0.0300,0.0451 +/- 0.0399,0.7206 +/- 0.6831
C3 snow,VLM-RSS-MPC Defense,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.7%,5906.8,30.85 +/- 6.52,57.40 +/- 21.14,5.99 +/- 0.27,4.72 +/- 0.13,0.00 +/- 0.00,0.00 +/- 0.00,1.17 +/- 0.21,0.00 +/- 0.00,0.0300 +/- 0.0281,0.0876 +/- 0.0712,0.0300 +/- 0.0281,0.0876 +/- 0.0712
C3 snow,RSS-MPC GT,18/18,100.0%,0.0%,0.0%,0.000,0.000,n/a,99.7%,5903.0,30.84 +/- 6.53,57.35 +/- 21.15,5.99 +/- 0.27,4.72 +/- 0.13,0.00 +/- 0.00,0.00 +/- 0.00,1.17 +/- 0.21,0.00 +/- 0.00,0.0299 +/- 0.0279,0.0878 +/- 0.0708,0.0299 +/- 0.0279,0.0878 +/- 0.0708
